departamento,pobreza_2024,acceso_microcredito_2024,acceso_productos_financieros_2024,atm_x_10000_adultos_2024,internet_hogares_2024
AMAZONAS,,3.4,67.0,2.5,41.3
ANTIOQUIA,24.7,4.4,126.3,4.6,66.9
ARAUCA,,7.9,78.1,2.1,34.3
ATLÁNTICO,31.6,2.8,94.2,4.5,58.9
BOGOTÁ D.C.,19.6,2.9,118.8,7.5,82.7
BOLÍVAR,48.0,4.4,82.6,3.7,60.2
BOYACÁ,30.9,12.3,85.4,3.5,60.6
CALDAS,20.0,4.8,81.6,3.8,66.9
CAQUETÁ,37.4,12.2,89.9,3.2,62.0
CASANARE,,9.0,86.2,3.8,71.0
CAUCA,43.1,9.7,65.7,1.7,49.0
CESAR,47.8,6.3,,,64.5
CHOCÓ,67.4,3.9,53.7,1.4,28.7
CUNDINAMARCA,20.1,5.7,76.3,4.0,66.9
CÉSAR,,,78.6,2.7,
CÓRDOBA,49.6,5.6,74.9,2.0,47.2
GUAINÍA,,3.5,49.2,1.5,31.5
GUAVIARE,,9.5,78.5,2.1,57.6
HUILA,40.4,13.4,98.0,3.5,70.8
LA GUAJIRA,65.7,3.0,62.7,2.0,30.1
MAGDALENA,51.7,4.6,79.8,3.3,55.1
META,23.6,7.9,88.2,3.9,77.0
NARIÑO,39.2,12.7,71.1,2.2,54.6
NORTE DE SANTANDER,35.3,6.2,85.0,2.9,60.5
PUTUMAYO,,13.4,71.7,1.6,38.6
QUINDÍO,25.9,4.7,90.8,4.5,63.4
RISARALDA,23.8,4.2,102.5,4.9,73.0
SAI,,3.9,,,
SAN ANDRÉS,,,,,57.6
SAN ANDRÉS Y PROVIDENCIA,,,,8.8,
SAN ANDRÉS Y PROVIDENCIA (SAI),,,93.0,,
SANTANDER,27.4,8.0,94.3,4.9,65.2
SUCRE,57.5,6.2,77.6,2.2,46.4
TOLIMA,35.6,10.5,94.2,3.8,76.5
VALLE DEL CAUCA,25.7,4.5,99.1,4.8,73.4
VAUPÉS,,3.1,20.4,1.2,26.5
VICHADA,,3.0,34.8,1.3,15.5
