departamento,pobreza_2024,acceso_microcredito_2024,acceso_productos_financieros_2024,atm_x_10000_adultos_2024,internet_hogares_2024,pobreza_n,microcredito_n,productos_n,atm_n,internet_n,indice_oportunidad,nivel
AMAZONAS,,3.4,67.0,2.5,41.3,,0.9433962264150944,0.5599622285174692,0.8289473684210527,0.3839285714285714,,
ANTIOQUIA,24.7,4.4,126.3,4.6,66.9,0.10669456066945601,0.8490566037735849,0.0,0.5526315789473686,0.7648809523809524,0.456720650084792,Bajo
ARAUCA,,7.9,78.1,2.1,34.3,,0.5188679245283019,0.4551463644948065,0.881578947368421,0.2797619047619047,,
ATLÁNTICO,31.6,2.8,94.2,4.5,58.9,0.2510460251046025,1.0,0.3031161473087818,0.5657894736842106,0.6458333333333333,0.574235176996119,Alto
BOGOTÁ D.C.,19.6,2.9,118.8,7.5,82.7,0.0,0.9905660377358491,0.07082152974504252,0.17105263157894746,1.0,0.4748983039404058,Medio
BOLÍVAR,48.0,4.4,82.6,3.7,60.2,0.5941422594142258,0.8490566037735849,0.41265344664778103,0.6710526315789473,0.6651785714285714,0.6617397248256909,Alto
BOYACÁ,30.9,12.3,85.4,3.5,60.6,0.2364016736401673,0.10377358490566047,0.3862134088762984,0.6973684210526316,0.6711309523809523,0.3303910738575991,Bajo
CALDAS,20.0,4.8,81.6,3.8,66.9,0.008368200836820053,0.8113207547169812,0.4220963172804534,0.6578947368421053,0.7648809523809524,0.48974275079956175,Medio
CAQUETÁ,37.4,12.2,89.9,3.2,62.0,0.37238493723849364,0.11320754716981163,0.34372049102927293,0.736842105263158,0.6919642857142857,0.3747146723603411,Bajo
CASANARE,,9.0,86.2,3.8,71.0,,0.41509433962264153,0.3786591123701605,0.6578947368421053,0.8258928571428571,,
CAUCA,43.1,9.7,65.7,1.7,49.0,0.4916317991631799,0.34905660377358505,0.5722379603399433,0.9342105263157895,0.49851190476190477,0.5062400532778857,Medio
CESAR,47.8,6.3,,,64.5,0.5899581589958157,0.6698113207547169,,,0.7291666666666666,,
CHOCÓ,67.4,3.9,53.7,1.4,28.7,1.0,0.8962264150943396,0.6855524079320113,0.9736842105263158,0.1964285714285714,0.7985334924850209,Alto
CUNDINAMARCA,20.1,5.7,76.3,4.0,66.9,0.010460251046025104,0.7264150943396226,0.47214353163361666,0.6315789473684211,0.7648809523809524,0.46977417095472185,Medio
CÉSAR,,,78.6,2.7,,,,0.4504249291784703,0.8026315789473684,,,
CÓRDOBA,49.6,5.6,74.9,2.0,47.2,0.6276150627615062,0.7358490566037736,0.48536355051935787,0.8947368421052632,0.4717261904761905,0.6420763811694425,Alto
GUAINÍA,,3.5,49.2,1.5,31.5,,0.9339622641509434,0.7280453257790368,0.9605263157894737,0.23809523809523808,,
GUAVIARE,,9.5,78.5,2.1,57.6,,0.3679245283018868,0.45136921624173754,0.881578947368421,0.6264880952380952,,
HUILA,40.4,13.4,98.0,3.5,70.8,0.43514644351464427,0.0,0.26723323890462714,0.6973684210526316,0.8229166666666666,0.3638032609953505,Bajo
LA GUAJIRA,65.7,3.0,62.7,2.0,30.1,0.9644351464435146,0.9811320754716981,0.6005665722379603,0.8947368421052632,0.21726190476190477,0.79581812233507,Alto
MAGDALENA,51.7,4.6,79.8,3.3,55.1,0.6715481171548117,0.8301886792452831,0.43909348441926355,0.7236842105263159,0.5892857142857143,0.6771463397784067,Alto
META,23.6,7.9,88.2,3.9,77.0,0.08368200836820083,0.5188679245283019,0.3597733711048158,0.6447368421052632,0.9151785714285714,0.43648145545948525,Bajo
NARIÑO,39.2,12.7,71.1,2.2,54.6,0.4100418410041841,0.06603773584905681,0.5212464589235128,0.868421052631579,0.5818452380952381,0.3951297328719428,Bajo
NORTE DE SANTANDER,35.3,6.2,85.0,2.9,60.5,0.32845188284518817,0.679245283018868,0.38999055712936737,0.7763157894736843,0.6696428571428571,0.5388857408474189,Alto
PUTUMAYO,,13.4,71.7,1.6,38.6,,0.0,0.5155807365439093,0.9473684210526315,0.34375,,
QUINDÍO,25.9,4.7,90.8,4.5,63.4,0.13179916317991625,0.820754716981132,0.3352219074598678,0.5657894736842106,0.712797619047619,0.4995480403928585,Medio
RISARALDA,23.8,4.2,102.5,4.9,73.0,0.08786610878661086,0.8679245283018868,0.22474032105760156,0.513157894736842,0.8556547619047619,0.500112243044588,Medio
SAI,,3.9,,,,,0.8962264150943396,,,,,
SAN ANDRÉS,,,,,57.6,,,,,0.6264880952380952,,
SAN ANDRÉS Y PROVIDENCIA,,,,8.8,,,,,0.0,,,
SAN ANDRÉS Y PROVIDENCIA (SAI),,,93.0,,,,,0.3144475920679888,,,,
SANTANDER,27.4,8.0,94.3,4.9,65.2,0.16317991631799156,0.509433962264151,0.30217186024551457,0.513157894736842,0.7395833333333334,0.4093632320851542,Bajo
SUCRE,57.5,6.2,77.6,2.2,46.4,0.7928870292887028,0.679245283018868,0.4598677998111427,0.868421052631579,0.45982142857142855,0.6664351832128148,Alto
TOLIMA,35.6,10.5,94.2,3.8,76.5,0.33472803347280333,0.2735849056603774,0.3031161473087818,0.6578947368421053,0.9077380952380952,0.42991149180619637,Bajo
VALLE DEL CAUCA,25.7,4.5,99.1,4.8,73.4,0.12761506276150622,0.839622641509434,0.25684608120868757,0.5263157894736843,0.8616071428571429,0.5105708738385251,Medio
VAUPÉS,,3.1,20.4,1.2,26.5,,0.9716981132075472,1.0,1.0,0.1636904761904762,,
VICHADA,,3.0,34.8,1.3,15.5,,0.9811320754716981,0.8640226628895185,0.9868421052631579,0.0,,
